Expiration,Days,Strike,Call Bid,Call Ask,Put Bid,Put Ask
20090110,9,1195,0.05,1,271.6,276.6
20090110,9,1200,0.05,0.15,276.6,281.6
20090110,9,1205,0.05,1,281.6,286.6
20090110,9,1210,0.05,0.5,286.6,291.6
20090110,9,1215,0.05,0.5,291.6,296.6
20090110,9,1220,0.05,1,296.6,301.6
20090110,9,1225,0,1,301.6,306.6
20090110,9,1230,0,1,306.6,311.6
20090110,9,1235,0,0.75,311.6,316.6
20090110,9,1240,0,0.5,316.6,321.6
20090110,9,1245,0,0.15,321.6,326.6
20090110,9,1250,0.05,0.1,326.6,331.6
20090110,9,1255,0,1,331.6,336.6
20090110,9,1260,0,1,336.6,341.6
20090110,9,1265,0,1,341.6,346.6
20090110,9,1270,0,0.3,346.6,351.6
20090110,9,1275,0,0.1,351.6,356.6
20090110,9,1280,0,0.15,356.6,361.6
20090110,9,1285,0,0.15,361.6,366.6
20090110,9,1290,0,0.15,366.6,371.6
20090110,9,1295,0,0.15,371.6,376.6
20090110,9,1300,0,0.1,376.6,381.6
20090110,9,1305,0,0.1,381.6,386.6
20090110,9,1310,0,0.1,386.6,391.6
20090110,9,1315,0,0.1,391.6,396.6
20090110,9,1320,0,0.1,396.1,401.8
20090110,9,1325,0,0.1,401.3,406.8
20090110,9,1330,0,0.1,406.3,411.8
20090110,9,1335,0,0.1,411.3,416.8
20090110,9,1340,0,0.1,416.3,421.8
20090110,9,1345,0,0.1,421.3,426.8
20090110,9,1350,0,0.05,425.8,431
20090110,9,1355,0,0.1,430.8,436
20090110,9,1360,0,0.1,435.8,441
20090110,9,1365,0,0.1,441.5,446.5
20090110,9,1370,0,0.1,446.5,451.5
20090110,9,1375,0,0.1,451.5,456.5
20090110,9,1380,0,0.1,456.5,461.5
20090110,9,1385,0,0.1,461.5,466.5
20090110,9,1390,0,0.1,466.5,471.5
20090110,9,1395,0,0.1,471.5,476.5
20090110,9,1400,0,0.05,476.5,481.5
20090110,9,1405,0,0.1,481.5,486.5
20090110,9,1410,0,0.1,486.5,491.5
20090110,9,1415,0,0.1,491.5,496.5
20090110,9,1420,0,0.1,496.5,501.5
20090110,9,1425,0,0.1,501.5,506.5
20090110,9,1430,0,0.1,506.5,511.5
20090110,9,1435,0,0.1,511.5,516.5
20090110,9,1440,0,0.1,516.5,521.5
20090110,9,1445,0,0.1,521.5,526.5
20090110,9,1450,0,0.1,526.5,531.5
20090110,9,1460,0,0.1,536.5,541.5
20090110,9,1470,0,0.1,546.5,551.5
20090110,9,1475,0,0.1,551.5,556.5
20090110,9,1480,0,0.1,556.5,561.5
20090110,9,1490,0,1,566.5,571.5
20090110,9,1500,0,0.05,576.5,581.5
20090110,9,1650,0,1,726.4,731.4
20090110,9,1700,0,1,776.1,781.6
20090207,37,200,716.4,721.4,0.05,0.6
20090207,37,300,616.6,621.6,0.2,0.4
20090207,37,350,566.8,571.8,0.15,0.85
20090207,37,375,541.7,547.4,0.2,0.5
20090207,37,400,517.1,522.1,0.2,0.85
20090207,37,425,492.3,497.3,0,1
20090207,37,450,467.3,472.8,0.2,1.2
20090207,37,475,442.9,447.9,0.5,1.5
20090207,37,500,418.1,423.6,1.35,2
20090207,37,525,393.9,398.9,1.25,2.5
20090207,37,550,369.6,374.6,1.55,2.75
20090207,37,575,345.2,350.9,2.1,4.3
20090207,37,600,321.7,327.2,3.4,5.4
20090207,37,610,312.2,317.7,3.5,5.7
20090207,37,615,307.2,312.2,3.9,6.1
20090207,37,620,302.7,308.2,4,6.4
20090207,37,625,297.8,302.8,4.2,6.9
20090207,37,630,292.8,298.5,4.6,6.9
20090207,37,635,288.1,293.8,4.7,7.3
20090207,37,640,283.5,289.1,5.1,7.5
20090207,37,650,274.1,279.6,5.8,8.1
20090207,37,660,265,270,6.3,9
20090207,37,670,256,261.5,7.2,9.7
20090207,37,675,251.4,256.2,7.5,9.8
20090207,37,680,246.4,251.6,8.1,10.4
20090207,37,690,237.7,243.2,8.8,11.4
20090207,37,700,228.7,233.7,9.4,12.4
20090207,37,710,219.3,224.9,10,13.6
20090207,37,720,210.4,216,11,14.7
20090207,37,725,206.4,211.2,11.7,15.9
20090207,37,730,201.8,206.8,12.1,16.2
20090207,37,740,192.9,198.5,13.2,17.6
20090207,37,750,184.7,189.9,15,18.8
20090207,37,760,176,181.4,16.2,19.9
20090207,37,770,167.4,172.5,17.9,22
20090207,37,775,163.2,168.4,18.3,22.9
20090207,37,780,159,164.2,19.2,24
20090207,37,790,150.9,156.1,20.8,26
20090207,37,800,142.8,146,22.7,28
20090207,37,805,138.8,144,23.7,28.9
20090207,37,810,134.9,140,25,29.7
20090207,37,815,130.9,136.1,25.9,30.5
20090207,37,820,127.1,132.2,26.9,31.9
20090207,37,825,123.2,128.4,27.8,33.3
20090207,37,830,119.4,124.6,29.3,34.5
20090207,37,835,115.6,120.8,30.3,35.4
20090207,37,840,111.9,117.1,31.8,36.9
20090207,37,845,108.2,113.4,32.9,38
20090207,37,850,107,109.7,34.1,39.6
20090207,37,855,101.3,106.3,35.9,39
20090207,37,860,97.4,103,37.4,42.5
20090207,37,865,94.8,99.5,38.6,43.7
20090207,37,870,91.3,96,40,45.1
20090207,37,875,87.9,92.6,41.7,47.1
20090207,37,880,83.6,88.9,43.3,48.7
20090207,37,885,80.3,85.8,44.8,50.3
20090207,37,890,77.5,83,47,52.1
20090207,37,895,74,79.5,48.6,53.8
20090207,37,900,70.8,76.4,50.2,55.4
20090207,37,905,67.6,73.1,52.2,57.2
20090207,37,910,64.6,70.1,54,59.5
20090207,37,915,62.4,67.1,56.3,61.5
20090207,37,920,59.1,64,57.8,63.3
20090207,37,925,56.2,61.7,60.3,65.8
20090207,37,930,53,58.5,62.9,67.9
20090207,37,935,50.3,55.8,64.6,70.1
20090207,37,940,47.6,52.7,67,72.6
20090207,37,945,45.7,50.4,69.5,75
20090207,37,950,44.8,47.7,72.2,76.6
20090207,37,955,40.4,45.3,74.7,79.7
20090207,37,960,38.1,43.2,77.3,82.3
20090207,37,965,35.6,40.7,79.8,85.3
20090207,37,970,33.4,38.9,82.6,87.9
20090207,37,975,32.4,36.1,85.7,90.7
20090207,37,980,28.9,34,88.6,93.4
20090207,37,985,27,32,91.6,96.8
20090207,37,990,25.4,30.3,94.7,99.8
20090207,37,995,23.2,28.6,97.8,103
20090207,37,1000,23,26.4,101,106.2
20090207,37,1005,20,24.7,104.3,109.5
20090207,37,1010,18.4,23.3,107.7,112.9
20090207,37,1015,17.1,21.2,111.1,116.3
20090207,37,1020,18,19.8,114.6,119.8
20090207,37,1025,14.4,18.2,118.2,123.4
20090207,37,1030,13.1,16.9,121.9,127.1
20090207,37,1035,11.8,15.8,125.6,130.6
20090207,37,1040,10.7,14.7,128.8,134.3
20090207,37,1045,9.3,13.6,133.1,138.6
20090207,37,1050,10.8,12,137.3,142.3
20090207,37,1055,8.1,10.6,140.9,146.6
20090207,37,1060,8.2,9.8,145.2,150.7
20090207,37,1065,6.5,9,148.9,154.4
20090207,37,1070,5.6,8.1,153.4,158.6
20090207,37,1075,5.1,7.6,157.4,162.9
20090207,37,1080,4.4,6.8,162.4,167.4
20090207,37,1085,3.8,6.2,166.4,172.1
20090207,37,1090,3.3,5.5,171.3,176.3
20090207,37,1095,2.9,4.9,175.8,180.8
20090207,37,1100,3.3,4.5,180.1,185.6
20090207,37,1105,2,4.1,184.2,189.7
20090207,37,1110,2,3.6,189.3,194.8
20090207,37,1115,1.65,3.3,194.2,199.2
20090207,37,1120,1.45,3,198.9,203.9
20090207,37,1125,2,2.4,202.9,208.4
20090207,37,1130,0.9,2.2,208.4,213.4
20090207,37,1135,0.7,1.9,212.7,218.4
20090207,37,1140,1,1.75,218,223
20090207,37,1145,0.5,1.5,222.8,227.8
20090207,37,1150,0.35,1.3,227.4,232.9
20090207,37,1155,0.25,1.2,232.3,237.8
20090207,37,1160,0.1,1.1,236.7,242.2
20090207,37,1165,0,1,241.6,247.1
20090207,37,1170,0,0.9,247,252.5
20090207,37,1175,0.3,0.85,251.9,257.4
20090207,37,1180,0,0.85,257.1,262.1
20090207,37,1185,0,0.8,261.3,266.5
20090207,37,1190,0,0.5,267,272
20090207,37,1195,0,0.75,271.2,276.4
20090207,37,1200,0.3,0.6,276.9,281.9
20090207,37,1205,0,0.75,281.6,287.1
20090207,37,1210,0,0.6,286.8,291.8
20090207,37,1215,0,0.85,291.8,296.8
20090207,37,1220,0,0.75,296.8,301.8
20090207,37,1225,0,0.8,301.5,307
20090207,37,1230,0,0.8,306.7,311.7
20090207,37,1235,0,0.8,311.7,316.7
20090207,37,1240,0.1,0.75,316.7,321.7
20090207,37,1245,0,0.75,321.7,326.7
20090207,37,1250,0,1,326.7,331.2
20090207,37,1255,0,0.75,331.4,336.9
20090207,37,1260,0,0.7,335.9,341.1
20090207,37,1265,0,0.7,341.6,346.6
20090207,37,1270,0,0.7,346.6,351.6
20090207,37,1275,0.05,0.2,351.6,356.6
20090207,37,1280,0,0.75,356.6,361.6
20090207,37,1290,0,0.75,366.6,371.6
20090207,37,1300,0.05,0.45,375.7,381
20090207,37,1315,0,0.5,390.7,395.9
20090207,37,1320,0,0.75,396.5,401.5
20090207,37,1325,0,0.5,399.9,405.9
20090207,37,1335,0,0.75,411.5,416.5
20090207,37,1340,0,0.75,416.5,421.5
20090207,37,1345,0,0.75,421.5,426.5
20090207,37,1350,0,0.5,425.6,430.8
